[2024-06-02T18:41:39] Estimation window: 2003-05-28 - 2007-05-16, Best order: (5, 0, 4)-(1, 1), AIC: -7.12102274200746, Final model FAILED to converge
[2024-06-02T18:42:15] Estimation window: 2003-05-29 - 2007-05-17, Best order: (5, 0, 5)-(1, 1), AIC: -7.14568581407003, Final model converged
[2024-06-02T18:42:46] Estimation window: 2003-05-30 - 2007-05-18, Best order: (5, 0, 5)-(1, 1), AIC: -7.12301154468004, Final model FAILED to converge
[2024-06-02T18:43:06] Estimation window: 2003-06-02 - 2007-05-21, Best order: (3, 0, 4)-(1, 1), AIC: -7.13984852600069, Final model converged
[2024-06-02T18:43:27] Estimation window: 2003-06-03 - 2007-05-22, Best order: (4, 0, 5)-(1, 1), AIC: -7.1805556458073, Final model converged
[2024-06-02T18:44:01] Estimation window: 2003-06-04 - 2007-05-23, Best order: (3, 0, 4)-(1, 1), AIC: -7.13355656262216, Final model converged
[2024-06-02T18:44:22] Estimation window: 2003-06-05 - 2007-05-24, Best order: (5, 0, 5)-(1, 1), AIC: -7.14518410260198, Final model converged
[2024-06-02T18:44:43] Estimation window: 2003-06-06 - 2007-05-25, Best order: (2, 0, 3)-(1, 1), AIC: -7.11805403757639, Final model converged
[2024-06-02T18:45:03] Estimation window: 2003-06-09 - 2007-05-29, Best order: (3, 0, 3)-(1, 1), AIC: -7.1195319880055, Final model converged
[2024-06-02T18:45:26] Estimation window: 2003-06-10 - 2007-05-30, Best order: (3, 0, 4)-(1, 1), AIC: -7.13246302509953, Final model converged
[2024-06-02T18:45:48] Estimation window: 2003-06-11 - 2007-05-31, Best order: (4, 0, 4)-(1, 1), AIC: -7.13758989076402, Final model converged
[2024-06-02T18:46:08] Estimation window: 2003-06-12 - 2007-06-01, Best order: (5, 0, 4)-(1, 1), AIC: -7.16026455567584, Final model converged
[2024-06-02T18:46:28] Estimation window: 2003-06-13 - 2007-06-04, Best order: (4, 0, 4)-(1, 1), AIC: -7.14513664925546, Final model converged
[2024-06-02T18:46:48] Estimation window: 2003-06-16 - 2007-06-05, Best order: (5, 0, 5)-(1, 1), AIC: -7.14192735375225, Final model converged
